"","var","SEGMENT","CHANNEL","para","var_group","model_var","model_name_group"
"360","TV_ITV5","TRADE","CALL_COLLECT",0.00099129166592302,"SPON_TV_ITV","SALES","sales"
"361","TV_SKY2_3","TRADE","CALL_COLLECT",0.00103056404795778,"SPON_TV_SKY","SALES","sales"
"362","EMAIL_OPEN","TRADE","CLICK_COLLECT",0.05083236972,"email","SALES","sales"
"363","REG_RADIO_1","TRADE","CLICK_COLLECT",0.0006694536,"REGIONAL_RADIO","SALES","sales"
"364","REG_RADIO_3","TRADE","CLICK_COLLECT",0.00049135368,"REGIONAL_RADIO","SALES","sales"
"365","SELCO","TRADE","CLICK_COLLECT",-0.00637436328,"SELCO","SALES","sales"
"366","DDROP","TRADE","CLICK_COLLECT",0.00016705298,"DOOR_DROP","SALES","sales"
"367","DDROP_1","TRADE","CLICK_COLLECT",0.00173808293311623,"DOOR_DROP","SALES","sales"
"368","DM_3","TRADE","CLICK_COLLECT",0.00306831282,"DIRECT_MAIL","SALES","sales"
"369","NAT_RADIO_1","TRADE","CLICK_COLLECT",0.00017306208,"NATIONAL_RADIO","SALES","sales"
"370","PS_BG_IMPS","TRADE","CLICK_COLLECT",0.0426465827,"paid_search","SALES","sales"
"371","SPON_TV_SKY","TRADE","CLICK_COLLECT",0.00021933215,"SPON_TV_SKY","SALES","sales"
"372","YT_SFX_PRODUCT_CAT126","TRADE","CLICK_COLLECT",0.00090376864,"YT_SFX_PRODUCT_CAT126","SALES","sales"
"373","BQ_1","TRADE","CLICK_COLLECT",-0.001551459,"BQ","SALES","sales"
"374","DM","TRADE","CLICK_COLLECT",0.00213385284,"DIRECT_MAIL","SALES","sales"
"375","DM_2","TRADE","CLICK_COLLECT",0.0020526996,"DIRECT_MAIL","SALES","sales"
"376","PR_CLIP","TRADE","CLICK_COLLECT",0.00508878552,"PR","SALES","sales"
"377","REG_PRESS_3","TRADE","CLICK_COLLECT",0.00275921016,"REGIONAL_PRESS","SALES","sales"
